DateTime	LogCategory	LogType	Cage	Corner	Side	LogNotes
2026-05-08 01:52:23.752	Warning	Antenna	1	2		Unregistered tag 215004961169
2026-05-08 01:53:54.576	Warning	Antenna	1	4		Unregistered tag 215004961169
2026-05-08 01:56:30.763	Warning	Antenna	1	3		Unregistered tag 215004961169
2026-05-08 02:03:24.398	Warning	Antenna	1	1		Unregistered tag 215004961169
2026-05-08 02:22:57.660	Warning	Antenna	1	2		Unregistered tag 215004961169
2026-05-08 02:23:07.395	Warning	Antenna	1	2		Unregistered tag 215004961169
2026-05-08 02:23:13.073	Warning	Antenna	1	2		Unregistered tag 215004961169
2026-05-08 02:23:43.259	Warning	Antenna	1	2		Unregistered tag 215004961169
2026-05-08 02:23:48.392	Warning	Antenna	1	2		Unregistered tag 215004961169
2026-05-08 02:23:52.307	Warning	Antenna	1	2		Unregistered tag 215004961169
2026-05-08 02:23:57.720	Warning	Antenna	1	2		Unregistered tag 215004961169
2026-05-08 02:43:30.967	Warning	Antenna	1	4		Unregistered tag 215004961169
2026-05-08 02:59:09.481	Warning	Antenna	1	3		Unregistered tag 215004961169
2026-05-08 03:07:49.117	Warning	Antenna	1	4		Unregistered tag 215004961169
2026-05-08 03:08:06.402	Warning	Antenna	1	4		Unregistered tag 215004961169
2026-05-08 03:19:14.973	Warning	Antenna	1	4		Unregistered tag 215004961169
2026-05-08 03:19:57.608	Warning	Antenna	1	4		Unregistered tag 215004961169
2026-05-08 03:34:21.521	Warning	Antenna	1	4		Unregistered tag 215004961169
2026-05-08 03:51:45.506	Warning	Antenna	1	3		Unregistered tag 215004961169
2026-05-08 03:51:55.319	Warning	Antenna	1	3		Unregistered tag 215004961169
2026-05-08 05:51:13.657	Warning	Antenna	1	4		Unregistered tag 215004961169
2026-05-08 05:59:51.188	Warning	Antenna	1	4		Unregistered tag 215004961169
2026-05-08 06:09:52.397	Warning	Antenna	1	4		Unregistered tag 215004961169
2026-05-08 06:27:01.453	Warning	Antenna	1	4		Unregistered tag 215004961169
2026-05-08 06:32:46.494	Warning	Antenna	1	2		Unregistered tag 215004961169
2026-05-08 06:32:59.489	Warning	Antenna	1	2		Unregistered tag 215004961169
2026-05-08 06:33:03.405	Warning	Antenna	1	2		Unregistered tag 215004961169
2026-05-08 06:33:06.509	Warning	Antenna	1	2		Unregistered tag 215004961169
2026-05-08 06:33:55.571	Warning	Antenna	1	2		Unregistered tag 215004961169
2026-05-08 06:41:47.066	Warning	Antenna	1	2		Unregistered tag 215004961169
2026-05-08 06:41:55.724	Warning	Antenna	1	2		Unregistered tag 215004961169
2026-05-08 06:43:29.964	Warning	Antenna	1	2		Unregistered tag 215004961169
2026-05-08 07:06:47.851	Warning	Antenna	1	4		Unregistered tag 215004961169
2026-05-08 07:07:29.940	Warning	Antenna	1	4		Unregistered tag 215004961169
2026-05-08 07:39:02.879	Warning	Antenna	1	3		Unregistered tag 215004961169
2026-05-08 08:09:56.895	Warning	Antenna	1	4		Unregistered tag 215004961169
2026-05-08 08:10:00.951	Warning	Antenna	1	4		Unregistered tag 215004961169
2026-05-08 08:10:32.495	Warning	Antenna	1	4		Unregistered tag 215004961169
2026-05-08 08:10:52.182	Warning	Antenna	1	3		Unregistered tag 215004961169
2026-05-08 08:11:16.845	Warning	Antenna	1	1		Unregistered tag 215004961169
2026-05-08 08:11:35.487	Warning	Antenna	1	1		Unregistered tag 215004961169
2026-05-08 08:11:45.908	Warning	Antenna	1	1		Unregistered tag 215004961169
2026-05-08 08:11:51.836	Warning	Antenna	1	1		Unregistered tag 215004961169
2026-05-08 08:11:54.816	Warning	Antenna	1	1		Unregistered tag 215004961169
2026-05-08 08:11:56.626	Warning	Antenna	1	1		Unregistered tag 215004961169
2026-05-08 08:14:09.647	Warning	Antenna	1	1		Unregistered tag 215004961169
2026-05-08 08:28:48.630	Warning	Antenna	1	1		Unregistered tag 215004961169
2026-05-08 08:40:39.040	Warning	Antenna	1	3		Unregistered tag 215004961169
2026-05-08 08:44:52.868	Warning	Antenna	1	3		Unregistered tag 215004961169
2026-05-08 08:55:28.507	Warning	Antenna	1	3		Unregistered tag 215004961169
2026-05-08 10:14:36.094	Warning	Antenna	1	4		Unregistered tag 215004961169
2026-05-08 10:33:06.551	Warning	Antenna	1	4		Unregistered tag 215004961169
2026-05-08 10:33:12.807	Warning	Antenna	1	4		Unregistered tag 215004961169
2026-05-08 10:33:16.114	Warning	Antenna	1	4		Unregistered tag 215004961169
2026-05-08 10:33:18.158	Warning	Antenna	1	4		Unregistered tag 215004961169
2026-05-08 10:33:21.465	Warning	Antenna	1	4		Unregistered tag 215004961169
2026-05-08 10:34:16.595	Warning	Antenna	1	4		Unregistered tag 215004961169
2026-05-08 10:59:44.478	Warning	Antenna	1	4		Unregistered tag 215004961169
2026-05-08 11:23:06.920	Warning	Antenna	1	4		Unregistered tag 215004961169
2026-05-08 12:19:28.148	Warning	Antenna	1	4		Unregistered tag 215004961169
2026-05-08 12:21:42.745	Warning	Antenna	1	4		Unregistered tag 215004961169
2026-05-08 14:25:40.105	Warning	Antenna	1	3		Unregistered tag 215004961169
2026-05-08 14:28:14.171	Info	Application				Session is stopped
