OriginalTime	Time	ProcessingTime	TimeStamp	MessageType	Address	Destination	Source	SendCounter	ReceiveCounter	Data...
2026-05-07 14:31:10.292	2026-05-07 14:31:10.292	2026-05-07 14:31:10.292	107135	FullCornerState	1	255	1	214	33	2	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	NoAnimal		1	1	51082	12	5632	21832	0	0	0	0
2026-05-07 14:31:12.835	2026-05-07 14:31:12.835	2026-05-07 14:31:12.835	109684	FullCornerState	1	255	1	215	33	3	3	0	1	0	0	0	0	0	0	0	0	0	0	0	0	NoAnimal		1	1	25875	55346	14422	62718	0	0	0	0
2026-05-07 14:31:15.378	2026-05-07 14:31:15.378	2026-05-07 14:31:15.378	112235	FullCornerState	1	255	1	216	33	4	4	0	1	0	0	0	0	0	0	0	0	0	0	0	0	NoAnimal		1	1	31530	954	21268	37202	0	0	0	0
2026-05-07 14:31:17.936	2026-05-07 14:31:17.936	2026-05-07 14:31:17.936	114785	FullCornerState	1	255	1	217	33	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	NoAnimal		1	1	15107	38202	34513	41308	0	0	0	0
2026-05-07 14:31:20.479	2026-05-07 14:31:20.479	2026-05-07 14:31:20.479	117334	FullCornerState	1	255	1	218	33	2	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	NoAnimal		1	1	51082	12	5632	21832	0	0	0	0
2026-05-07 14:31:23.037	2026-05-07 14:31:23.037	2026-05-07 14:31:23.037	119885	FullCornerState	1	255	1	219	33	3	3	0	1	0	0	0	0	0	0	0	0	0	0	0	0	NoAnimal		1	1	25875	55346	14422	62718	0	0	0	0
2026-05-07 14:31:23.193	2026-05-07 14:31:23.193	2026-05-07 14:31:23.193	120047	State	1	255	1	220	0	0	1	0	26	254	1	0	1	0	0	0	0	0	0	0	0	0	2	0	1	0	0	0	0	0	0	0	0	0	3	0	1	0	0	0	0	0	0	0	0	0	4	0	1	0	0	0	0	0	0	0	0	0
2026-05-07 14:31:25.580	2026-05-07 14:31:25.580	2026-05-07 14:31:25.580	122435	FullCornerState	1	255	1	221	33	4	4	0	1	0	0	0	0	0	0	0	0	0	0	0	0	NoAnimal		1	1	31530	954	21268	37202	0	0	0	0
2026-05-07 14:31:28.139	2026-05-07 14:31:28.139	2026-05-07 14:31:28.139	124985	FullCornerState	1	255	1	222	33	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	NoAnimal		1	1	15107	38202	34513	41308	0	0	0	0
2026-05-07 14:31:30.681	2026-05-07 14:31:30.681	2026-05-07 14:31:30.681	127534	FullCornerState	1	255	1	223	33	2	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	NoAnimal		1	1	51082	12	5632	21832	0	0	0	0
2026-05-07 14:31:33.240	2026-05-07 14:31:33.240	2026-05-07 14:31:33.240	130085	FullCornerState	1	255	1	224	33	3	3	0	1	0	0	0	0	0	0	0	0	0	0	0	0	NoAnimal		1	1	25875	55346	14422	62718	0	0	0	0
2026-05-07 14:31:35.783	2026-05-07 14:31:35.783	2026-05-07 14:31:35.783	132637	FullCornerState	1	255	1	225	33	4	4	0	1	0	0	0	0	0	0	0	0	0	0	0	0	NoAnimal		1	1	31530	954	21268	37202	0	0	0	0
2026-05-07 14:31:38.325	2026-05-07 14:31:38.325	2026-05-07 14:31:38.341	135186	FullCornerState	1	255	1	226	33	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	NoAnimal		1	1	15107	38202	34513	41308	0	0	0	0
2026-05-07 14:31:40.884	2026-05-07 14:31:40.884	2026-05-07 14:31:40.884	137737	FullCornerState	1	255	1	227	33	2	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	NoAnimal		1	1	51082	12	5632	21832	0	0	0	0
2026-05-07 14:31:43.427	2026-05-07 14:31:43.427	2026-05-07 14:31:43.427	140286	FullCornerState	1	255	1	228	33	3	3	0	1	0	0	0	0	0	0	0	0	0	0	0	0	NoAnimal		1	1	25875	55346	14422	62718	0	0	0	0
